id,title,description,link,image_link,price,availability,condition,brand,mpn,google_product_category,product_type
invitatie-nunta-albastru-regal-sigiliu-007,Invitație Nuntă Lux Albastru Regal - Sigiliu Ceară și Flori Uscate,"Invitație de nuntă premium, realizată pe carton mat alb de 250g, îmbrăcată cu o copertă texturată deosebită în nuanța albastru regal. Designul este decorat manual cu un sigiliu elegant din ceară, șnur auriu delicat și flori uscate naturale, oferind un aspect rafinat și tactil. Ideală pentru nunti de lux și evenimente care impun eleganță. Caracteristici: Material: carton texturat albastru regal și carton alb mat | Grosime carton: 250g | Dimensiune: 13 x 18 cm (închisă) | Accesorii: sigiliu decorativ ceară, șnur auriu, flori uscate naturale",https://boundlesscollection.ro/p/invitatie-nunta-lux-albastru-regal-sigiliu-ceara-si-flori-uscate-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-albastru-regal-007.jpg,10.00 RON,in stock,new,Boundless Collection,invitatie-nunta-albastru-regal-sigiliu-007,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-botez-fetita-ursulet-baloane,Invitație Botez Fetiță - Tematică Ursuleț cu Baloane Roz Pastel,"Invitație de botez delicată pentru fetiță, cu o ilustrație adorabilă în stil acuarelă reprezentând un ursuleț simpatic și baloane în nuanțe pastelate. Realizată pe carton alb premium de 250g, această invitație este alegerea perfectă pentru evenimente cu tematică Baby Girl sau Ursuleț. Designul cald și jucăuș va impresiona invitații încă de la prima atingere. Caracteristici: Material: carton alb premium neted | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Accesorii: design ilustrat pastel | Plic inclus în preț: Da",https://boundlesscollection.ro/p/invitatie-botez-fetita-tematica-ursulet-cu-baloane-roz-pastel-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-fetita-ursulet-baloane.jpeg,5.00 RON,in stock,new,Boundless Collection,invitatie-botez-fetita-ursulet-baloane,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-albinute-miere-floarea-soarelui,Invitație Botez Veselă - Tematică Albinuțe și Floarea Soarelui,"Invitație de botez cu un design vesel și colorat, inspirat de natură, cu ilustrații cu albinuțe, fagure de miere și floarea soarelui. Realizată pe carton alb mat premium de 250g, această invitație este ideală pentru botezuri cu tematică Honey sau Bee Day. Designul cald aduce un plus de optimism evenimentului tău. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Accesorii: design ilustrat natură | Plic inclus în preț: Da",https://boundlesscollection.ro/p/invitatie-botez-vesela-tematica-albinute-si-floarea-soarelui-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-albinute-miere.jpg,5.00 RON,in stock,new,Boundless Collection,invitatie-botez-albinute-miere-floarea-soarelui,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-ursuleti-roz-eleganta-094,Invitație Botez Fetiță - Ursuleți Roz și Fundă Dublu Satin,"Invitație de botez premium pentru fetiță, realizată într-un format special cu clapete decorative și închidere elegantă cu fundă dublu satinată roz pudrat. Designul include ilustrații adorabile cu ursuleți în stil acuarelă și accente aurii fine. Este o piesă de papetărie lucrată manual, ideală pentru o tematică delicată și de poveste. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm (închisă) | Accesorii: fundă dublu satinată roz pudrat, format tip copertă",https://boundlesscollection.ro/p/invitatie-botez-fetita-ursuleti-roz-si-funda-dublu-satin-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-ursuleti-roz-funda-satin.jpg,5.99 RON,in stock,new,Boundless Collection,invitatie-botez-ursuleti-roz-eleganta-094,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-ursulet-miere-plic-galben,Invitație Botez Ursuleț și Miere - Include Plic Galben Decorativ,"Invitație de botez veselă și luminoasă, cu un design adorabil ilustrat cu un ursuleț și tematică de miere (Honey Theme). Această invitație este realizată pe carton alb premium de 250g și vine prezentată într-o copertă galbenă decorativă, oferind un impact vizual deosebit. Este ideală pentru botezul unui băiețel, potrivindu-se perfect tematicilor cu ursuleți, albinuțe sau natură. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Accesorii: Copertă, panglică și sticker | Design: Ursuleț și miere în stil acuarelă",https://boundlesscollection.ro/p/invitatie-botez-ursulet-si-miere-include-plic-galben-decorativ-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-ursulet-miere-plic.jpg,5.99 RON,in stock,new,Boundless Collection,invitatie-botez-ursulet-miere-plic-galben,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-baietel-elefant-bleu,Invitație Botez Băiețel - Elefănțel Simpatic și Baloane Bleu Ciel,"Invitație de botez delicată pentru băiețel, cu o ilustrație adorabilă în stil acuarelă reprezentând un elefănțel simpatic în nuanțe de bleu ciel. Realizată pe carton alb premium de 250g, această invitație este alegerea perfectă pentru un eveniment plin de gingășie și emoție. Designul jucăuș și culorile calde se potrivesc ideal unei tematici Baby Boy sau Animalute din Poveste. Caracteristici: Material: carton alb premium neted | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Accesorii: Copertă, panglică și sticker",https://boundlesscollection.ro/p/invitatie-botez-baietel-elefantel-simpatic-si-baloane-bleu-ciel-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-elefant-bleu.jpg,5.99 RON,in stock,new,Boundless Collection,invitatie-botez-baietel-elefant-bleu,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-tematica-ursulet-005,Invitație Botez Ursuțel și Miere - Include Varianta Digitală cadou,"Invitație de botez premium cu design delicat, inspirat de tematica ursuleț și borcănașul cu miere (Honey Theme). Realizată pe carton alb mat de 250g, această invitație se remarcă prin elemente grafice calde, în stil acuarelă. Un avantaj major: pachetul include și varianta digitală optimizată pentru trimitere pe WhatsApp sau Social Media. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Bonus: Varianta digitală inclusă | Plic inclus în preț: Da",https://boundlesscollection.ro/p/invitatie-botez-ursutel-si-miere-include-varianta-digitala-cadou-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-ursulet-borcan-miere.jpg,6.00 RON,in stock,new,Boundless Collection,invitatie-botez-tematica-ursulet-005,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-ratusca-fetita-006,Invitație Botez Fetiță - Tematică Rățușcă și Mesaj It's a Girl,"Invitație de botez adorabilă pentru fetiță, cu un design delicat ilustrat cu o rățușcă simpatică și elemente florale pastelate. Realizată pe carton alb mat de 250g, această invitație oferă un aspect dulce și elegant, fiind ideală pentru tematici de poveste sau Baby Shower. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Design: Rățușcă roz pastel | Plic inclus: Da",https://boundlesscollection.ro/p/invitatie-botez-fetita-tematica-ratusca-si-mesaj-its-a-girl-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-ratusca.jpg,6.00 RON,in stock,new,Boundless Collection,invitatie-botez-ratusca-fetita-006,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-botez-ratusca-baietel-norisori,Invitație Botez Băiețel - Rățușcă pe Leagăn între Norisori,"Invitație de botez veselă pentru băiețel, ilustrată cu o rățușcă simpatică pe un leagăn, înconjurată de norișori pufoși. Realizată pe carton premium de 250g, este alegerea perfectă pentru o tematică baby jucăușă și plină de gingășie. Caracteristici: Material: carton alb premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Stil: Acuarelă baby boy | Plic inclus: Da",https://boundlesscollection.ro/p/invitatie-botez-baietel-ratusca-pe-leagan-intre-norisori-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-ratusca-baietel-norisori.jpg,6.00 RON,in stock,new,Boundless Collection,invitatie-botez-ratusca-baietel-norisori,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-nunta-pasaport-tematica-calatorie,Invitație Nuntă Tip Pașaport cu Boarding Pass - Tematică Călătorie,"Invitație de nuntă originală și interactivă concepută ca un pașaport real, însoțită de un bilet de îmbarcare (boarding pass) detașabil. Ideală pentru cuplurile pasionate de călătorii și aventură. Realizată pe carton premium, include design personalizat 'Travel Theme' care va surprinde invitații. Caracteristici: Format: Pașaport cu bilet de îmbarcare inclus | Material: carton premium | Stil: Nuntă tematică travel | Personalizare completă inclusă",https://boundlesscollection.ro/p/invitatie-nunta-tip-pasaport-cu-boarding-pass-tematica-calatorie-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-pasaport-calatorie.JPG,8.00 RON,in stock,new,Boundless Collection,invitatie-nunta-pasaport-tematica-calatorie,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-foaie-calc-sigiliu-ceara,Invitație Nuntă Lux pe Foaie de Calc cu Sigiliu de Ceară și Flori,"Invitație de nuntă exclusivistă realizată pe foaie de calc semitransparentă (vellum), decorată manual cu un sigiliu din ceară reală și elemente florale delicate. Designul minimalist și rafinat oferă o experiență tactilă deosebită, fiind perfectă pentru nunti romantice sau vintage. Caracteristici: Material: foaie de calc premium (vellum) | Accesorii: sigiliu ceară, flori uscate | Stil: Minimalist / Elegant",https://boundlesscollection.ro/p/invitatie-nunta-lux-pe-foaie-de-calc-cu-sigiliu-de-ceara-si-flori-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-calc-sigiliu-ceara.JPG,8.50 RON,in stock,new,Boundless Collection,invitatie-nunta-foaie-calc-sigiliu-ceara,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-lamaie-tematica-mediteraneana,Invitație Nuntă Tematică Mediteraneană - Design Lămâi și Fresh de Vară,"Invitație de nuntă luminoasă și fresh, inspirată de culorile Italiei și ale coastei mediteraneene, cu ilustrații vibrante cu lămâi și frunze verzi. Realizată pe carton mat premium, este ideală pentru nunți de vară în aer liber sau petreceri tematice 'Citrus Wedding'. Caracteristici: Material: carton mat premium | Grosime: 250g | Stil: Mediteranean / Fresh Summer | Design: Acuarelă lămâi | Plic inclus: Da",https://boundlesscollection.ro/p/invitatie-nunta-tematica-mediteraneana-design-lamai-si-fresh-de-vara-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-lamaie-mediteraneana.jpg,7.50 RON,in stock,new,Boundless Collection,invitatie-nunta-lamaie-tematica-mediteraneana,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-save-the-date-foto-eleganta,Invitație Nuntă Save the Date Personalizată cu Fotografia Mirilor,"Invitație de nuntă tip Save the Date, personalizată cu fotografia voastră preferată, realizată pe carton foto premium de 250g. Design elegant și minimalist, ideal pentru a anunța data marelui eveniment într-un mod modern și personal. Caracteristici: Material: carton premium mat/glossy | Grosime: 250g | Dimensiune: 12 x 17 cm",https://boundlesscollection.ro/p/invitatie-nunta-save-the-date-personalizata-cu-fotografia-mirilor-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-save-the-date-foto.jpg,9.50 RON,in stock,new,Boundless Collection,invitatie-nunta-save-the-date-foto-eleganta,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-florala-albastra-minimalista,Invitație Nuntă Minimalistă - Design Floral Albastru Pastel și Monogramă,"Invitație de nuntă elegantă cu design floral minimalist în nuanțe de albastru pastel și monogramă personalizată a mirilor. Realizată pe carton premium neted, este alegerea perfectă pentru o nuntă modernă și romantică. Caracteristici: Material: carton alb premium | Grosime: 250g | Dimensiune: 12 x 17 cm | Design: Monogramă personalizată și flori albastre | Plic inclus: Da",https://boundlesscollection.ro/p/invitatie-nunta-minimalista-design-floral-albastru-pastel-si-monograma-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-florala-albastra-minimalista.jpg,7.00 RON,in stock,new,Boundless Collection,invitatie-nunta-florala-albastra-minimalista,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-poarta-basm-011,Invitație Nuntă de Poveste - Poartă de Basm cu Flori și Fundă Albă,"Invitație de nuntă spectaculoasă, pliabilă tip poartă, ilustrată în stil acuarelă cu o intrare de basm îmbrăcată în flori albe. Legată la exterior cu o fundă satinată albă, la deschidere dezvăluie o ilustrație de bisericuță romantică. Caracteristici: Tip: Pliabilă (Poartă) | Material: carton premium | Accesorii: fundă satinată albă | Stil: Acuarelă / Basm | Dimensiune: 13 x 18 cm (închisă)",https://boundlesscollection.ro/p/invitatie-nunta-de-poveste-poarta-de-basm-cu-flori-si-funda-alba-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-poarta-basm-funda-alba.jpg,9.50 RON,in stock,new,Boundless Collection,invitatie-nunta-poarta-basm-011,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-eleganta-florala-sigiliu,Invitație Nuntă Lux - Design Floral și Sigiliu de Ceară Reală,"Invitație de nuntă exclusivistă realizată pe carton premium texturat, decorată manual cu un sigiliu de ceară rafinat. Designul floral delicat oferă un aspect clasic și romantic, perfect pentru evenimente de lux. Caracteristici: Material: carton premium texturat | Accesorii: sigiliu ceară reală, design floral | Stil: Romantic / Clasic | Dimensiune: 13 x 18 cm",https://boundlesscollection.ro/p/invitatie-nunta-lux-design-floral-si-sigiliu-de-ceara-reala-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-florala-sigiliu.JPG,10.00 RON,in stock,new,Boundless Collection,invitatie-nunta-eleganta-florala-sigiliu,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-eleganta-aurie-monograma,Invitație Nuntă Regală - Ivoire cu Accente Aurii și Monogramă,"Invitație de nuntă clasică și rafinată în nuanțe de ivoire, personalizată cu monograma mirilor în accente aurii (gold). Realizată pe carton premium, este ideală pentru nunți formale și elegante. Caracteristici: Material: carton premium ivoire | Grosime: 250g | Dimensiune: 12 x 17 cm | Design: Monogramă aurie | Plic inclus: Da",https://boundlesscollection.ro/p/invitatie-nunta-regala-ivoire-cu-accente-aurii-si-monograma-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-aurie-monograma.jpg,8.50 RON,in stock,new,Boundless Collection,invitatie-nunta-eleganta-aurie-monograma,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-florala-program-095,Invitație Nuntă cu Programul Evenimentului - Design Floral Pastel,"Invitație de nuntă modernă și practică, ce include secțiuni dedicate pentru programul zilei (biserică, recepție, tort). Designul floral în nuanțe pastelate oferă un aspect romantic și organizat. Caracteristici: Material: carton mat premium | Grosime: 250g | Dimensiune: 12 x 17 cm | Detalii: Include Timeline/Program eveniment",https://boundlesscollection.ro/p/invitatie-nunta-cu-programul-evenimentului-design-floral-pastel-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-nunta-florala-program-095.jpg,4.99 RON,in stock,new,Boundless Collection,invitatie-nunta-florala-program-095,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-nunta-calendar-roz-001,Invitație Nuntă Romantică - Model Calendar cu Flori Acuarelă,"Invitație de nuntă originală, personalizată cu data evenimentului evidențiată sub formă de calendar. Design floral romantic în stil acuarelă, tip card pliat, perfect pentru o nuntă feminină și caldă. Caracteristici: Tip: Card pliat | Material: carton premium | Design: Calendar personalizat | Stil: Acuarelă roz",https://boundlesscollection.ro/p/invitatie-nunta-romantica-model-calendar-cu-flori-acuarela-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-florala-calendar-roz.jpeg,4.00 RON,in stock,new,Boundless Collection,invitatie-nunta-calendar-roz-001,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii nunta
invitatie-sigiliu-ceara-flori-uscate-001,Invitație Botez Handmade - Sigiliu Ceară și Flori Uscate Naturale,"Invitație de botez premium realizată manual, pe carton mat de 250g în nuanțe delicate. Invitația este legată cu sfoară decorativă și personalizată cu un sigiliu din ceară autentică și flori uscate naturale, atent selecționate. Designul oferă un aspect elegant, rafinat și un vibe organic, fiind ideală pentru tematici de botez boho-chic, rustice sau minimaliste. Caracteristici: Material: carton mat premium | Grosime carton: 250g | Dimensiune: 12 x 17 cm | Accesorii: sigiliu din ceară, sfoară iută, flori naturale uscate",https://boundlesscollection.ro/p/invitatie-botez-handmade-sigiliu-ceara-si-flori-uscate-naturale-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-sigiliu-flori-uscate.jpg,6.99 RON,in stock,new,Boundless Collection,invitatie-sigiliu-ceara-flori-uscate-001,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
invitatie-poza-calc-roz-002,Invitație Botez cu Poză Bebe și Foaie de Calc - Design Roz și Organza,"Invitație de botez modernă și extrem de delicată, realizată pe carton foto premium (250g), completată de o foaie de calc (vellum) semitransparentă care oferă un aspect aerisit și elegant. Fotografia micuței tale este integrată armonios, iar invitația este finisată manual cu o fundiță fină din organza roz. Este alegerea perfectă pentru părinții care își doresc o amintire fotografică specială pentru invitați. Caracteristici: Material: carton foto premium și foaie de calc transparentă | Grosime: 250g | Dimensiune: 12 x 17 cm | Accesorii: fundiță organza roz | Personalizare: Include poza copilului",https://boundlesscollection.ro/p/invitatie-botez-cu-poza-bebe-si-foaie-de-calc-design-roz-si-organza-invitati.html,https://boundlesscollection.ro/images/invitatii/invitatie-botez-foto-foaie-de-calc-roz.jpg,4.50 RON,in stock,new,Boundless Collection,invitatie-poza-calc-roz-002,Arts & Entertainment > Party & Celebration > Party Supplies > Invitations,invitatii botez
